id,title,description,link,image_link,price,condition,availability,brand
10,"Мазь RockSauce","Мазь для лечения суставов и мышц RockSauce – эффективное обезболивание в спортивной медицине

Ничто так не мешает тренировкам, как боль в суставах и мышцах. Острая или тупая – она не только не позволяет использовать ресурсы организма на 100%, но и значительно отвлекает спортсмена от его цели. Но что делать, ведь травмы неизбежны? Спортивные врачи компании RockTape разработали новое эффективное средство RockSauce.

Обезболивающая мазь RockSauce имеет ряд преимуществ перед обычными средствами от боли:


	Высокая концентрация активных веществ.
	Одновременное охлаждение, позволяющее убрать болевой синдром, и согревание, способствующее быстрому восстановлению мышц.
	Отсутствие в составе продуктов животного происхождения.
	Возможность использовать как самостоятельно, так и совместно с кинезиотейпом RockTape (средство не только обезболивает, но и очищает, за счёт чего тейп удерживается так же надежно, как и просто на очищенной коже).


Кроме того, мазь для лечения суставов и мышц RockSauce действительно работает: она создана специально для спортсменов и позволяет снять боль не только в состоянии покоя, но и при продолжении интенсивных тренировок.

Как использовать RockSauce:


	Небольшое количество мази нанесите на очищенную кожу травмированной области.
	Аккуратно втирайте мазь до полного впитывания.
	Обработанный участок можно покрыть повязкой, оставить открытым или провести на нем тейпирование.


Применение мази позволяет согревать мышцы и уменьшать болевой синдром в течение нескольких часов. При повторном появлении боли в суставах и мышцах мазь можно использовать вновь.

Предпочитаете профессиональные средства и не упускаете возможность улучшить спортивные результаты? Купить мазь от растяжений мышц RockSauce Вы можете прямо сейчас.

Активные компоненты:


	Метилсалицилат (20%)
	Ментол (10%)
	Капсацин (0,002%)


Неактивные компоненты:

Аминометил пропанол, экстракт листьев алоэ-вера, экстракт горной арники, карбомер, цетеариловый спирт, этилгексилглицерин, этилгексилпальмитат, глицерин, метилизотиазолин, пропиленгликоль, токоферолацетат, вода.


	Объем 88,5 мл (3 oz)",https://rocktape.ua/rock-sause,https://rocktape.ua/image/cache/data/480358206-300x300.png,"520 UAH",new,"out of stock","RockTape (США)"
66,"Наколенники Assassins","Новинка от RockTape! Абсолютное оружие для господства на тренировках – &quot;Assassins&quot; «Убийцы».

Совершенно новое поколение наколенников!

&quot;Assassins&quot; будут поддерживать, и охранять ваши колени от повреждений. Оказывают всестороннюю поддержку в ходе изнурительных тренировок. Защищают ваши колени от ссадин во время выпадов или препятствий на гонках. Могут быть использованы в различных спортивных и фитнес - занятиях: тяжелая атлетика, полоса препятствий, гонки, бег, езда на велосипеде, кроссфит и другие функциональные тренировки.


	Не сползают во время активности.
	Сохраняют коленный сустав в тепле между упражнениями.
	Предназначены для повышения производительности и увеличения эффективности тренировок.
	Бескомпромиссная защита!


Выше, чем стандартные наколенники. Это помогает обеспечить стабильность положения колена, и часто может значительно уменьшить неспецифические боли в колене, особенно при приседаниях.

&quot;Assassins&quot; созданы для конкуренции!

«Убийцы» были разработаны специально для спортсменов. Мы собрали все уникальные потребности и отзывы спортсменов, и создали наколенники &quot;Assassins&quot;. Мы считаем, что каждый спортсмен заслуживает два наколенника - вот почему «Убийцы» всегда продаются в паре.

&quot;Assassins&quot; почти неубиваемые!

Строгое соблюдение контроля качества, постоянное тестирование продукта обеспечивает Assassins экстра – высоким качеством, что позволяет им вынести бесчисленное количество тренировок. Компания RockTape в течение 3 лет &quot;собирала&quot; обратную связи от клиентов RockTape и профессиональных спортсменов, таких как Jason Khalipa, Ashley Horner, Marcus Filly, и Neal Maddox - чемпионов CrossFit Games 2008 года, чтобы обеспечить в конечном итоге максимальную защиту колена во время соревнований. 
 

Технические характеристики и преимущества:

 


	Особый высокопрочный материал SBR неопрен - долговечный и комфортный.
	Новая передняя поверхность наколенника - еще более комфортная, эластичная и долговечная. 
	Задняя поверхность выполнена из неопрена, который тянется во все 4 стороны, позволяя сохранить полную подвижность, мобильность, сохраняя полную амплитуду движения. 
	Двойные стежки и более широкие швы - залог &quot;неубиваемости&quot; новых Assasins. 
	Специальная вставка – 4-х полосная лайкра, которая позволяет обеспечить большую мягкость, воздухопроницаемость, эластичность.
	Обеспечивает стабилизацию коленного сустава при движении.
	Различные варианты защиты – толщина неопрена 5 мм или 7 мм.
	Совершенно уникальный органичный дизайн.
	Гарантия качества.


Определение размеров.

Размеры: XS, S, M, L, XL - для правильного подбора размера, измерьте обхват колена по центру коленной чашечки прямой ноги.

В комплекте - 2 наколенника.
 


	
	Размерная сетка
	
	
		
			Размер
			Обхват колена
		
		
			S
			25-32 см
		
		
			M
			32-35 см
		
		
			L
			35-37 см
		
		
			XL
			37 и больше см 
		
	


 





​",https://rocktape.ua/assassins,https://rocktape.ua/image/cache/data/product/assassins_red_camo-300x300.jpg,"1395 UAH",new,"in stock","RockTape (США)"
58,"Перчатки Talons","Перчатки TALONS – новое поколение перчаток от RockTape

Перчатки Talons пришли на смену перчаткам G-Loves от RockTape. Теперь тренироваться в перчатках станет еще более комфортно, безопасно и эффективно.  

Современная защита G-LOVES уже заслужила любовь профессиональных спортсменов, однако новое поколение перчаток TALONS стало еще более идеальным. Сохранив все преимущества предыдущей модели, специалисты компании RockTape усовершенствовали характеристики новой модели и сделали их еще более функциональными и комфортными. 


	Отсутствие швов на ладонях (что крайне важно для велосипедных перчаток).
	Высокая чувствительность (надев перчатки, Вы сможете работать даже с сенсорным экраном).
	Силиконовая вставка, обеспечивающая оптимальную поддержку мышц (что важно при работе с большим весом; данный аспект следует учитывать, например, выбирая перчатки для бодибилдинга).
	Специальный захват большого пальца, который дает дополнительную защиту.
	Удобные петли.
	Воздухопроницаемая боковая поверхность.
	Оптимальное впитывание пота, что важно при интенсивных занятиях и играет роль, например, при выборе перчаток для фитнеса или работы с весом.
	Возможность использования (мела) магнезии.
	Более прочный материал, который позволит дольше служить перчаткам и выдерживать даже самые суровые условия. 


Забудьте о травмах – сосредоточьтесь на результатах с защитой TALONS. 


	Размерная сетка
	
		
			
			Размер
			
			
			Обхват ладони*
			
		
		
			
			XS
			
			
			менее 15 см
			
		
		
			
			S
			
			
			15-18 см
			
		
		
			
			M
			
			
			18-20 см
			
		
		
			
			L
			
			
			20-23 см
			
		
		
			
			XL
			
			
			25 и больше см
			
		
	


*Для правильного подбора размера, измерьте обхват ладони чуть ниже &quot;костяшки&quot; пальцев, не захватывая большой палец.",https://rocktape.ua/talons,https://rocktape.ua/image/cache/data/product/talons_main-300x300.jpg,"945 UAH",new,"in stock","RockTape (США)"
1,"Kинезио тейп Classic (5см х 5м)","Спортивные тейпы RockTape – лучшее, что сделано спортивной медициной

Спортивные тейпы RockTape – настоящий прорыв в кинезио тейпировании. Благодаря разработке учёных из США тейпирование стало более эффективным, а результаты спортсменов значительно улучшились.

В чём же секрет kinesio tape от RockTape?


	Эластичность – по данному показателю RockTape в несколько раз опережает подобные товары. Благодаря уникальному составу и технологии производства эти американские тейпы растягиваются на 190%, что аналогично свойствам кожи.
	Состав – 3% нейлона и 97% хлопка – на данный момент это лучшая пропорция, которая в сочетании со специфическим плетением дает отличную поддержку мышц и при этом сохраняет высокую эластичность ленты.
	Клеевая основа – стойкая и не вызывающая аллергических реакций. За счёт плотного крепления эффект после кинезио тейпирования сохраняется 5 дней вне зависимости от интенсивности нагрузок.
	Водостойкость – тейп не мешает спортсмену вести обычный образ жизни и не требует особого внимания после тейпирования.


Травмы – больше не проблема

Благодаря вышеперечисленным особенностям спортивных тейпов RockTape появляется возможность проводить тренировки любой сложности, не опасаясь травм. Кроме того, если растяжение или другая травма уже есть, kinesio tape позволяет уменьшить боль, ускорить заживление и не прерывать тренировок в период восстановления.

Kinesiology tape – лучшее решение для спортсменов, которые стремятся к высоким результатам.

Купить кинезио тейпы в Украине достаточно просто – их предлагают многие магазины. Мы являемся официальным представителем спортивных тейпов RockTape и предлагаем Вам ряд преимуществ:


	Лучшие цены.
	Удобная и быстрая доставка.
	Широкий ассортимент оригинальных kinesiology tape от RockTape.


Не откладывайте достижение новых вершин «на потом» – позвоните нашему менеджеру и узнайте, как купить кинезио тейпы от RockTape в Украине прямо сейчас.",https://rocktape.ua/kinesio-tape-classic,https://rocktape.ua/image/cache/data/product/5x5_small_navy_blue-300x300.jpg,"420 UAH",new,"in stock","RockTape (США)"
56,"Женская футболка RockSauce","Женская футболка Next Level с лого RockSauce для кроссфита

Женская футболка производства американсокй компании Next Level с логотипом RockSauce создана специально для кроссфита и других интенсивных занятий. Если вы любите спорт, хотите достичь отличных результатов и всегда выглядеть отлично – эта футболка для вас.

Женская футболка RockSauce для Crossfit – улучшаем результаты

Несомненно, кроссфит – занятие для тех, кто умеет достигать целей и не останавливается на половине пути. Можно ли приблизить цель и увеличить эффективность тренировок с помощью одежды? Конечно, если это женская футболка RockSauce для тренировок, ведь она:


	Повышает комфорт тренировок – так как отлично впитывает влагу и способствует ее испарению.
	Дышит и при этом поддерживает температуру разогретых мышц.
	Имеет специальные швы, которые не натирают кожу даже при интенсивных тренировках.
	Стильно выглядит и подчеркивает все рельефы мышц, мотивируя заниматься еще интенсивнее.


Если вы любите спорт, хотите оставаться женственной и покорять новые вершины – женская футболка RockSauce для тренировок создана именно для вас.
 


	
		
			Женская модель
			S
			M
			L
		
		
			Длина (от плеча до основания)
			64 см
			66 см
			68 см
		
		
			Ширина (по талии в самом широком месте)
			37 см
			40 см
			41,5 см",https://rocktape.ua/womens-rocktsauce-tee,https://rocktape.ua/image/cache/data/product/Rock_Sauce_wom_tshirt-300x300.jpg,"490 UAH",new,"in stock","RockTape (США)"
78,"Защита локтей Assassins Elbow","p.p1 {margin: 0.0px 0.0px 0.0px 0.0px; font: 14.0px Times; color: #3a3a3a}
li.li1 {margin: 0.0px 0.0px 0.0px 0.0px; font: 14.0px Times; color: #3a3a3a}
span.s1 {letter-spacing: 0.0px}
ul.ul1 {list-style-type: disc}



НОВИНКА! У наших невероятно популярных наколенников Assassins Knee Sleeves появился «младший брат» – защита локтей Assassins Elbow!

В чем преимущества:


	Обеспечивает поддержку суставам во время изнурительных тренировок.
	Защищает локти от повреждений при выполнении упражнений.
	Благодаря продуманной конструкции налокотники не сползают во время активности.
	Сохраняют локтевые суставы в тепле в перерывах между подходами.
	Способствуют уменьшению неспецифической боли в локте.


Assassins Elbow можно использовать для занятий в любом виде спорта, в том числе: интервальные тренировки высокой интенсивности, гонки с препятствиями, велоезда, функциональный тренинг, гиревой спорт – список бесконечен.

Созданы для соревнований

Мы сконструировали нашу новинку, опираясь на мнение и потребности атлетов. Чтобы достичь максимальных показателей, мы переделывали и дополняли защиту в течение 3 лет, вносили изменения, о которых нас просили наши клиенты и топовые спортсмены, тестировавшие продукт: Эшли Хорнер Ashley Horner), Маркус Фили (Marcus Filly), Нил Мэдокс (Neal Maddox).

И как результат – пара налокотников, которая подойдет и для выступления на самых сложных и тяжелых силовых соревнованиях, и для ежедневных тренировок.

Бескомпромиссная ценность

Ценовая политика защитной экипировки должна быть разумной и сделать этот продукт доступным для всех. При этом качество должно быть на высоте. Это наша задача. Еще мы верим, что каждый атлет, приобретая защиту, должен получать сразу пару, поэтому мы комплектуем Assassins Elbow по 2 шт.

«Убить» практически невозможно

Налокотники созданы на основе синтетического каркаса, который пришит к SBR-неопрену при помощи надежного двойного шва. Такая конструкция обеспечивает комфортную поддержку суставу в течение многих-многих тренировок.

Мы безжалостно тестировали Assassins Elbow. Это делали наши атлеты и специальные автоматические приборы. Именно поэтому мы так уверены в качестве этой защиты, и являемся единственной компанией на рынке, которая дает годовую гарантию на такое изделие с даты покупки.

Характеристики


	Толщина – 4 мм.
	В комплекте 2 шт.
	Из SBR неопрена (устойчив к внешним воздействиям, перепадам температур, имеет низкую остаточную деформацию, эластичен, прочен, экологичен, безопасен для здоровья).
	Двойная прострочка.
	Износостойкие, гибкие передние вкладки.
	Боковые вставки из лайкры, которая растягивается в 4 направлениях.


Размеры

Измерьте обхват руки непосредственно над локтевым суставом. Если ваши мерки находятся на предельной границе размерного ряда, мы советуем взять следующий размер.

S: 20 - 25 см

M: 25 - 36 см

L: 36 - 46 см

XL: 46 см - 51 см

2XL: более 51 см

Поначалу налокотники могут показаться тугими. Это нормально. Необходима разноска (обычно, это несколько тренировок).",https://rocktape.ua/assassins-elbow,https://rocktape.ua/image/cache/data/локти-300x300.png,"995 UAH",new,"in stock","RockTape (США)"
57,"Кистевые бинты RockWrist ","Купить кистевые бинты RockWrist -  защити запястья от травм

Применять защиту для запястей - еще не означает, что Ваши кисти слабые. Нашим запястьям в любом случае всегда нужна дополнительная поддержка во время тяжелых тренировок. 

Идеально данная защита для запястей подойдет атлетам, которые занимаются по системе CrossFit, а именно при выполнении: 


	фронтальных приседаний; 
	толчков; 
	рывков; 
	взятий на грудь; 
	жимов; 
	швунгов; 
	трастеров; 
	работой с гирями; 
	работа на турнике; 
	других упражнений, где нагрузка приходится на суставы кисти. 


Размер RockWrist - универсальный. Длина - 54 см; ширина - 6,5 см. 

Будьте дольше сильными вместе с RockTape.",https://rocktape.ua/rockwrist,https://rocktape.ua/image/cache/data/product/rockwrist_main-300x300.jpg,"595 UAH",new,"in stock","RockTape (США)"
60,"Мазь RockSauce Chill","Купить обезболивающую мазь Rocktape RockSauce Chill - значит снять мышечный дискомфорт, снизить болевой синдром, отдалить момент наступления усталости во время тренировок или соревнований у спортсменов. 

С обезболивающей мазью RockSause Chill - боль позади 

Охлаждающая мазь RockSauce Chill имеет в составе 6% ментол и другие активные ингредиенты, благодаря которым обеспечивается мощный поток прохлады. RockSauce Chill имеет роликовый аппликатор - его очень удобно и быстро наносить всегда и везде, при этом не вымазывая руки. Достаточно сделать несколько движений аппликатором и обезболивающая мазь начнет работать. 
 

Характеристики и приемущества RockSauce Chill от RockTape:  


	
	Сильнее, чем многие аналоги (6% ментол в составе); 
	
	
	Обеспечивает почти мгновенное ощущение охлаждения, которое длится несколько часов;
	
	
	Может использоваться отдельно или в сочетании с кинезио тейпами RockTape;
	
	
	Можно хранить в холодильнике для более сильного охлаждения
	


Обезболивающую мазь RockSause Chill купить можно в нашем интернет-магазине с доставкой по всей Украине. 

Компания RockTape разрабатывает только высококачественные продукты и помогает “Go stronger, longer”.",https://rocktape.ua/rock-sause-chill,https://rocktape.ua/image/cache/data/480348355-300x300.png,"440 UAH",new,"in stock","RockTape (США)"
62,"Массажные мячи RockBalls","Массажные мячи RockTape RockBalls для миофасциального релиза высокоточно и эффективно расслабят ваши мышцы.

Миофасциальный релиз — это один из самых мягких и эффективных методов мануальной терапии. По своей эффективности он во многом превосходит другие методы.

Купить массажные мячи RockBalls – значит освободиться от напряжения

С помощью массажных мячей от RockTape можно быстро устранить болевой синдром, восстанавить работу позвоночника, оказать воздействие на мышцы и фасции, освободить «зажатые» нервы и напряжённые мышцы.

Постоянное сжатие околопозвоночных мышц приводит к напряжению позвоночника. Напряжённые мышцы, как резина, всё время смещают позвонки в неправильном направлении. Вот почему первым важнейшим шагом к выздоровлению является освобождение позвоночника от перенапряжения. И здесь миофасциальный релиз даёт прекрасную возможность сделать это мягко и безопасно.

RockBalls от RockTape продаются в паре, где один большой мяч с шипами, а другой - гладкий шар. 

Два - лучше, чем один :)




Посмотрите все видео-инструкции с массажными мячиками в нашем специальном материале.",https://rocktape.ua/rockballs,https://rocktape.ua/image/cache/data/product/rock-balls-main-300x300.jpg,"545 UAH",new,"in stock","RockTape (США)"
72,"Массажный ролик RockNRoller HD","Массажный ролик от RockTape - незаменимый помошник в реабилитации

Ролики RocknRoller являются идеальным помощником в реабилитации, развитии подвижности и улучшении атлетических способностей, обеспечивая сбалансированные функциональные нагрузки.

Ролики RocknRoller– это эффективные средства, которые позволяют с помощью массажа расслабить мышцы и снять стресс. Они ускоряют капиллярный кровоток, уменьшают венозный застой и повышают кожно-мышечный тонус.

Небольшие размеры данных аксессуаров позволяют переносить их в сумке и использовать в разных спортивных программах.

Массажный ролик RocknRoller HD 45 обеспечивает глубокую проработку мышц и фасций. Тренируясь с массажным роликом RocknRoller HD 45, вы расслабите даже самые мелкие мышцы вашего организма.

Причины боли в спине разнообразны:


	Крепатура;
	Травмы;
	Растяжение мышц;
	Слабость мышечного корсета;
	Нарушения микроциркуляции;


Преимущества:


	Массаж роликом RockNRoller HD 45 уменьшит интенсивность болевого синдрома и устранит причину боли при регулярном правильном применении;


Характеристики:

 


	Длина ролика - 45 см
	Диаметр - 15 см
	Вес - 0,3 кг
	Производство - США/Корея
	Цвет - черный",https://rocktape.ua/rocknroller-hd,https://rocktape.ua/image/cache/data/543899173-300x300.png,"780 UAH",new,"in stock","RockTape (США)"
51,"Массажный цилиндр RockNRoller","Массажный роллер RocknRoller от RockTape

Массажный роллер RocknRoller от компании RockTape – это еще одна совместная разработка спортивных врачей и реабилитологов. Массажный роллер имеет специальную конструкцию, каждая деталь которой выполняет свою функцию.

Роликовый массажер – конструкция, продлевающая здоровье ваших мышц

Роликовый массажер представляет собой цилиндр из специального прочного материала длиной 45 см и диаметром 14 см. На поверхности валика для массажа присутствуют выступы различного размера, которые при массаже позволяют расслабить даже мелкие мышцы. Сбоку цилиндр закрывается крышкой, что позволяет в полом пространстве внутри цилиндра хранить ремешок, мячи RockTape или другие необходимые аксессуары.

Купить RockTape RocknRoller – забыть о боли в мышцах

 Наиболее частыми причинами мышечной боли являются:


	Крепатура;
	Растяжение мышц;
	Слабость мышечного корсета;
	Нарушения микроциркуляции;
	Травмы.


Массаж, в том числе специальным массажным роликом, позволяет уменьшить интенсивность болевого синдрома и устранить причину боли при регулярном правильном применении.

Как работает массажный ролик для миофасциального релиза

Массажный ролик для мышц RocknRoller оказывает прямое и непрямое действие на мышцы спины и мышечный корсет в целом. В частности, к прямому действию можно отнести:


	Раздражение мышц спины и нервных окончаний, вследствие чего улучшает приток крови, ускоряется метаболизм в данных мышцах и стимулируются регенеративные процессы и выведение продуктов метаболизма.
	Механическое влияние на мышцы (так называемая «пассивная активность»), вследствие этого отмечается попеременное сокращение и расслабление мышц, как при физической активности. При этом прорабатываются мышцы, которые не участвуют в большинстве «активных» упражнений.


Кроме того, купив RockTape RocknRoller и правильно его используя, можно получить и опосредованное положительное влияние на причины мышечной боли и организм в целом. В частности, к такому типу влияния массажа относят:


	Рефлекторное влияние – активируя нервные окончания и рефлекторные дуги, массаж спины с помощью ролика позволяет улучшить работу внутренних органов, повысить иммунитет и запустить процессы регенерации тканей.
	Общеоздоровительное действие – активация микроциркуляции и рефлекторное влияние массажа позволяют повысить жизненную энергию, расслабиться, а также улучшить работу всех органов и систем.


Купить массажный цилиндр от RockTape

Наш магазин предлагает купить массажный цилиндр по наиболее привлекательной цене – мы не работаем с посредниками, а получаем продукцию напрямую от производителя, соответственно, избегаем лишних наценок. Для того чтобы купить массажный ролик RokcRoller – просто добавьте его в корзину и оформите покупку или позвоните нашему менеджеру, который поможет оформить заказ.

Внимание! Подробные видео-уроки по применению роллера для различных групп мышц вы сможете найти в этом материале.",https://rocktape.ua/rocknroller,https://rocktape.ua/image/cache/data/product/RocknRoller_main-300x300.jpg,"1250 UAH",new,"in stock","RockTape (США)"
54,"Мужская футболка RockSauce","Мужская футболка Next Level с лого RokcSauce для кроссфита

Мужская футболка от компании Next Level с логотипом RockSauce для кроссфита – это способ сделать тренировки эффективнее и повысить собственную мотивацию.

Мужская футболка RockSauce – это не просто одежда для спорта, это возможность улучшить свои показатели и сделать занятия кроссфитом комфортнее.

Приобретя эту футболку, вы сразу ощутите преимущества:


	Идеальный состав ткани – футболка впитывает влагу, не прилипает к телу и сохраняет комфорт даже при очень интенсивной тренировке.
	Удобный крой сохраняет свободу движений и не сковывает вас.
	Специальные швы не натирают и предупреждают появление раздражений на теле после интенсивных занятий.
	Оптимальная терморегуляция – благодаря крою и составу ткани футболка обеспечивает и хорошую вентиляцию, и сохранение тепла, ведь поддерживать мышцы разогретыми очень важно для продуктивной тренировки.


Мотивация – залог отличного результата

Оригинальный дизайн мужской футболки RockSauce для Crossfit создан специально для тяжелых и интенсивных тренировок. В меру агрессивный выбор цвета и принта, а также идеальное подчеркивание рельефа мышц – именно то, что нужно для повышения мотивации при тренировках.

Желаете достичь большего в кроссфите – попробуйте футболку RockSauce, и вы уже не захотите от нее отказаться.
 


	
		
			
			Мужская модель
			
			
			    S
			
			
			   M
			
			
			   L
			
			
			   XL
			
		
		
			
			Длина (от плеча до основания)
			
			
			 72 см
			
			
			 73 см 
			
			
			 75 см 
			
			
			 77,5 см 
			
		
		
			
			Ширина (по талии в самом широком месте)
			
			
			 47,5 см
			
			
			 51 см
			
			
			 55 см
			
			
			 60 см",https://rocktape.ua/mens-rocktsauce-tee,https://rocktape.ua/image/cache/data/product/Rock_Sauce_man_tshirt-300x300.jpg,"490 UAH",new,"in stock","RockTape (США)"
